YYYY MM DD hh mm DIR  SPD GDR GSP GTIME
2005 01 03 13 50 125  6.7 999 99.0 9999
2005 01 03 14 00 125  6.3 125  7.5 1340
2005 01 03 14 10 128  6.4 999 99.0 9999
2005 01 03 14 20 126  6.2 999 99.0 9999
2005 01 03 14 30 124  5.4 999 99.0 9999
2005 01 03 14 40 123  5.0 999 99.0 9999
2005 01 03 14 50 125  5.0 999 99.0 9999
2005 01 03 15 00 122  5.0 128  6.8 1405
2005 01 03 15 10 117  5.2 999 99.0 9999
2005 01 03 15 20 116  6.3 999 99.0 9999
2005 01 03 15 30 117  6.7 999 99.0 9999
2005 01 03 15 40 115  6.8 999 99.0 9999
2005 01 03 15 50 114  7.3 999 99.0 9999
2005 01 03 16 00 113  7.4 112  8.1 1551
2005 01 03 16 10 116  7.0 999 99.0 9999
2005 01 03 16 20 120  6.4 999 99.0 9999
2005 01 03 16 30 119  5.9 999 99.0 9999
2005 01 03 16 40 118  5.4 999 99.0 9999
2005 01 03 16 50 117  5.7 999 99.0 9999
2005 01 03 17 00 114  6.3 114  7.9 1602
2005 01 03 17 10 110  6.8 999 99.0 9999
2005 01 03 17 20 108  7.0 999 99.0 9999
2005 01 03 17 30 113  5.9 999 99.0 9999
2005 01 03 17 40 116  5.8 999 99.0 9999
2005 01 03 17 50 117  5.4 999 99.0 9999
2005 01 03 18 00 115  4.8 108  7.4 1715
2005 01 03 18 10 110  5.5 999 99.0 9999
2005 01 03 18 20 111  4.7 999 99.0 9999
2005 01 03 18 30 121  3.6 999 99.0 9999
2005 01 03 18 40 118  3.7 999 99.0 9999
2005 01 03 18 50 124  3.9 999 99.0 9999
2005 01 03 19 00 125  4.2 110  6.0 1807
2005 01 03 19 10 124  4.1 999 99.0 9999
2005 01 03 19 20 125  3.9 999 99.0 9999
2005 01 03 19 30 127  3.4 999 99.0 9999
2005 01 03 19 40 137  3.1 999 99.0 9999
2005 01 03 19 50 131  3.8 999 99.0 9999
2005 01 03 20 00 128  4.5 127  4.6 1956
2005 01 03 20 10 126  4.4 999 99.0 9999
2005 01 03 20 20 127  4.6 999 99.0 9999
2005 01 03 20 30 124  4.4 999 99.0 9999
2005 01 03 20 40 118  3.7 999 99.0 9999
2005 01 03 20 50 118  3.7 999 99.0 9999
2005 01 03 21 00 112  4.1 126  5.0 2020
2005 01 03 21 10 109  3.7 999 99.0 9999
2005 01 03 21 20 102  3.5 999 99.0 9999
2005 01 03 21 30  96  3.4 999 99.0 9999
2005 01 03 21 40  96  3.7 999 99.0 9999
2005 01 03 21 50  93  3.5 999 99.0 9999
2005 01 03 22 00  94  3.6 112  4.0 2100
2005 01 03 22 10  95  3.8 999 99.0 9999
2005 01 03 22 20 100  4.2 999 99.0 9999
2005 01 03 22 30  94  3.9 999 99.0 9999
2005 01 03 22 40  93  4.4 999 99.0 9999
2005 01 03 22 50  88  4.5 999 99.0 9999
2005 01 03 23 00  85  4.6  85  4.8 2258
2005 01 03 23 10  83  4.4 999 99.0 9999
2005 01 03 23 20  76  4.6 999 99.0 9999
2005 01 03 23 30  76  4.5 999 99.0 9999
2005 01 03 23 40  73  4.6 999 99.0 9999
2005 01 03 23 50  76  5.0 999 99.0 9999
2005 01 04 00 00  82  5.5  82  6.6 2357
2005 01 04 00 10  87  5.5 999 99.0 9999
2005 01 04 00 20  87  5.8 999 99.0 9999
2005 01 04 00 30  87  5.9 999 99.0 9999
2005 01 04 00 40  88  5.9 999 99.0 9999
2005 01 04 00 50  88  6.0 999 99.0 9999
2005 01 04 01 00  83  5.6  91  6.8 0042
2005 01 04 01 10  84  5.0 999 99.0 9999
2005 01 04 01 20  82  5.0 999 99.0 9999
2005 01 04 01 30  83  4.7 999 99.0 9999
2005 01 04 01 40  82  5.1 999 99.0 9999
2005 01 04 01 50  84  5.1 999 99.0 9999
2005 01 04 02 00  80  5.3  82  6.0 0116
2005 01 04 02 10  86  5.9 999 99.0 9999
2005 01 04 02 20  90  6.2 999 99.0 9999
2005 01 04 02 30  92  5.8 999 99.0 9999
2005 01 04 02 40  94  5.8 999 99.0 9999
2005 01 04 02 50  99  6.3 999 99.0 9999
2005 01 04 03 00 101  6.9 101  7.3 0255
2005 01 04 03 10 102  6.4 999 99.0 9999
2005 01 04 03 20 102  6.6 999 99.0 9999
2005 01 04 03 30 101  6.8 999 99.0 9999
2005 01 04 03 40 102  6.7 999 99.0 9999
2005 01 04 03 50 103  6.9 999 99.0 9999
2005 01 04 04 00 104  6.6 102  7.4 0325
2005 01 04 04 10 106  6.4 999 99.0 9999
2005 01 04 04 20 106  6.5 999 99.0 9999
2005 01 04 04 30 109  6.8 999 99.0 9999
2005 01 04 04 40 109  6.4 999 99.0 9999
2005 01 04 04 50 110  6.7 999 99.0 9999
2005 01 04 05 00 111  6.2 109  7.4 0443
2005 01 04 05 10 109  5.0 999 99.0 9999
2005 01 04 05 20 109  4.0 999 99.0 9999
2005 01 04 05 30 112  3.2 999 99.0 9999
2005 01 04 05 40 112  3.2 999 99.0 9999
2005 01 04 05 50  98  2.9 999 99.0 9999
2005 01 04 06 00  96  2.7 109  6.1 0500
2005 01 04 06 10 105  3.3 999 99.0 9999
2005 01 04 06 20 110  4.4 999 99.0 9999
2005 01 04 06 30 108  4.5 999 99.0 9999
2005 01 04 06 40 111  4.0 999 99.0 9999
2005 01 04 06 50 115  3.3 999 99.0 9999
2005 01 04 07 00 109  3.8 109  5.0 0620
2005 01 04 07 10 109  3.9 999 99.0 9999
2005 01 04 07 20 103  3.9 999 99.0 9999
2005 01 04 07 30 100  3.8 999 99.0 9999
2005 01 04 07 40  96  3.6 999 99.0 9999
2005 01 04 07 50  94  3.2 999 99.0 9999
2005 01 04 08 00  97  4.0  96  4.7 0759
2005 01 04 08 10 100  5.0 999 99.0 9999
2005 01 04 08 20 102  5.8 999 99.0 9999
2005 01 04 08 30 109  6.5 999 99.0 9999
2005 01 04 08 40 105  6.3 999 99.0 9999
2005 01 04 08 50 101  5.6 999 99.0 9999
2005 01 04 09 00  99  5.5 106  7.1 0822
2005 01 04 09 10  99  5.5 999 99.0 9999
2005 01 04 09 20  98  5.7 999 99.0 9999
2005 01 04 09 30  97  5.8 999 99.0 9999
2005 01 04 09 40 104  6.5 999 99.0 9999
2005 01 04 09 50 105  6.0 999 99.0 9999
2005 01 04 10 00 106  5.0 103  7.3 0936
2005 01 04 10 10 106  6.2 999 99.0 9999
2005 01 04 10 20 108  6.9 999 99.0 9999
2005 01 04 10 30 115  6.5 999 99.0 9999
2005 01 04 10 40 119  6.3 999 99.0 9999
2005 01 04 10 50 119  6.1 999 99.0 9999
2005 01 04 11 00 121  5.7 108  7.5 1019
2005 01 04 11 10 120  5.8 999 99.0 9999
2005 01 04 11 20 120  5.8 999 99.0 9999
2005 01 04 11 30 119  5.7 999 99.0 9999
2005 01 04 11 40 119  5.8 999 99.0 9999
2005 01 04 11 50 117  5.4 999 99.0 9999
2005 01 04 12 00 116  4.9 119  6.4 1131
2005 01 04 12 10 116  4.8 999 99.0 9999
2005 01 04 12 20 117  4.8 999 99.0 9999
2005 01 04 12 30 118  4.9 999 99.0 9999
2005 01 04 12 40 122  4.7 999 99.0 9999
2005 01 04 12 50 122  4.3 999 99.0 9999
2005 01 04 13 00 123  4.4 118  5.3 1226
2005 01 04 13 10 123  3.9 999 99.0 9999
2005 01 04 13 20 124  3.4 999 99.0 9999
2005 01 04 13 30 128  4.2 999 99.0 9999
2005 01 04 13 40 131  4.3 999 99.0 9999
2005 01 04 13 50 136  3.8 999 99.0 9999
2005 01 04 14 00 131  4.0 128  4.8 1334
2005 01 04 14 10 134  4.9 999 99.0 9999
2005 01 04 14 20 134  5.4 999 99.0 9999
2005 01 04 14 30 130  5.1 999 99.0 9999
2005 01 04 14 40 128  4.0 999 99.0 9999
2005 01 04 14 50 123  3.2 999 99.0 9999
2005 01 04 15 00 115  3.5 135  5.7 1411
2005 01 04 15 10 117  3.8 999 99.0 9999
2005 01 04 15 20 121  3.7 999 99.0 9999
2005 01 04 15 30 114  2.9 999 99.0 9999
2005 01 04 15 40 116  2.8 999 99.0 9999
2005 01 04 15 50 115  2.9 999 99.0 9999
