ride_id,rideable_type,date_time,ended_at,start_station_ne,start_station_id,end_station_ne,end_station_id,latitude,longitude,end_lat,end_lng,member_casual
DB635712DD421661,docked_bike,5/27/2020 11:22,5/27/2020 11:25,Wabash Ave & Grand Ave,199,Dearborn St & Erie St,110,41.8915,-87.6268,41.894,-87.6293,member
496E00EE6831F0DA,docked_bike,5/29/2020 18:54,5/29/2020 18:53,Wells St & Concord Ln,289,Rush St & Cedar St,172,41.9121,-87.6347,41.9023,-87.6277,member
B2AAF77030C81E2F,docked_bike,5/30/2020 12:44,5/30/2020 12:59,Wells St & Elm St,182,Wabash Ave & Grand Ave,199,41.9032,-87.6343,41.8915,-87.6268,member
5923A4BC57A20566,docked_bike,5/15/2020 20:22,5/15/2020 20:43,Orleans St & Merchandise Mart Plaza,100,Morgan St & Lake St,71,41.8882,-87.6364,41.8855,-87.6523,member
0FCC21F32D890FF5,docked_bike,5/10/2020 20:58,5/10/2020 21:25,State St & Randolph St,44,Wentworth Ave & 24th St (Temp),132,41.8847,-87.6277,41.8501,-87.6321,member
FA0AF72E08D39A9E,docked_bike,5/6/2020 9:38,5/6/2020 9:58,Wabash Ave & Grand Ave,199,Desplaines St & Kinzie St,56,41.8915,-87.6268,41.8887,-87.6444,member
47E02A9FDA82666B,docked_bike,5/7/2020 14:21,5/7/2020 14:42,LaSalle St & Illinois St,181,Wabash Ave & Grand Ave,199,41.8908,-87.6317,41.8915,-87.6268,member
EEC333B8F3AFF500,docked_bike,5/20/2020 16:26,5/20/2020 16:28,Desplaines St & Randolph St,96,Green St & Randolph St,112,41.8846,-87.6446,41.8837,-87.6487,member
1165C0DA1C57A976,docked_bike,5/10/2020 9:28,5/10/2020 9:44,Indiana Ave & 26th St,147,Dearborn St & Ads St,37,41.8457,-87.6225,41.8794,-87.6298,member
28BF684B4F0170DC,docked_bike,5/16/2020 8:12,5/16/2020 8:37,Halsted St & 21st St,135,Halsted St & 21st St,135,41.8538,-87.6466,41.8538,-87.6466,member
CC9A965D0D026B02,docked_bike,5/16/2020 16:21,5/16/2020 16:29,Green St & Randolph St,112,State St & Randolph St,44,41.8837,-87.6487,41.8847,-87.6277,member
BB07F948CD13039A,docked_bike,5/28/2020 14:17,5/28/2020 14:16,Green St & Randolph St,112,Green St & Madison St,198,41.8837,-87.6487,41.8819,-87.6488,member
38136F59BCEEFF9A,docked_bike,5/19/2020 7:09,5/19/2020 7:26,State St & 29th St,193,Wabash Ave & 16th St,72,41.8417,-87.6269,41.8604,-87.6258,member
6BC033E4E8E5D42D,docked_bike,5/13/2020 14:59,5/13/2020 15:02,State St & 19th St,178,Wabash Ave & Cermak Rd,42,41.8566,-87.6275,41.8526,-87.6265,member
4A8CF199FFFDCA61,docked_bike,5/7/2020 12:42,5/7/2020 12:52,Wells St & Hubbard St,212,Wells St & Polk St,175,41.8899,-87.6343,41.8726,-87.6335,member
6B4C437CEEBE73DA,docked_bike,5/10/2020 10:10,5/10/2020 10:27,Fairbanks Ct & Grand Ave,24,Halsted St & Clybourn Ave,331,41.8918,-87.6206,41.9097,-87.6481,member
EFC021B900B5ED59,docked_bike,5/16/2020 14:45,5/16/2020 14:57,Green St & Randolph St,112,Morgan St & Lake St,71,41.8837,-87.6487,41.8855,-87.6523,member
F2BFE2C841EF1D87,docked_bike,5/16/2020 7:24,5/16/2020 7:32,Green St & Randolph St,112,Green St & Randolph St,112,41.8837,-87.6487,41.8837,-87.6487,member
8A7283422C63D22D,docked_bike,5/23/2020 20:24,5/23/2020 20:51,Michigan Ave & Lake St,52,Wabash Ave & 9th St,321,41.886,-87.6241,41.8708,-87.6257,member
8CAA71B7CB0D4F0B,docked_bike,5/24/2020 13:26,5/24/2020 13:36,Wabash Ave & Grand Ave,199,Green St & Randolph St,112,41.8915,-87.6268,41.8837,-87.6487,member
20AC02F111B37425,docked_bike,5/5/2020 12:01,5/5/2020 12:16,Green St & Randolph St,112,Green St & Madison St,198,41.8837,-87.6487,41.8819,-87.6488,member
B300DF572254468E,docked_bike,5/20/2020 8:06,5/20/2020 8:23,Michigan Ave & 14th St,168,McClurg Ct & Illinois St,26,41.8641,-87.6237,41.8904,-87.6175,member
36F6C863AA33065F,docked_bike,5/9/2020 19:49,5/9/2020 20:13,Michigan Ave & 18th St,273,Indiana Ave & 26th St,147,41.8578,-87.6246,41.8457,-87.6225,member
4357FD554EE3BD93,docked_bike,5/15/2020 10:21,5/15/2020 10:46,McClurg Ct & Illinois St,26,Mies van der Rohe Way & Chestnut St,145,41.8904,-87.6175,41.8986,-87.6219,member
55C03624741165CA,docked_bike,5/16/2020 19:10,5/16/2020 19:24,Green St & Randolph St,112,Sangon St & Washington Blvd,233,41.8837,-87.6487,41.8832,-87.6511,member
F9C6B49F72C495C9,docked_bike,5/11/2020 17:23,5/11/2020 17:46,Michigan Ave & Lake St,52,Kingsbury St & Kinzie St,133,41.886,-87.6241,41.8892,-87.6385,member
